issn,journal_title,issn_cr
1955-2629,Journal of Language Contact,1955-2629
1955-2629,Journal of Language Contact,1877-4091
1402-9251,Journal of Nonlinear Mathematical Physics,1402-9251
1402-9251,Journal of Nonlinear Mathematical Physics,1776-0852
0022-3131,Journal of Nuclear Science and Technology,0022-3131
0022-3131,Journal of Nuclear Science and Technology,1881-1248
0972-978X,Journal of Orthopaedics,0972-978X
1703-289X,The Journal of Religion and Popular Culture,1703-289X
2210-4690,Journal of Remanufacturing,2210-4690
2210-4690,Journal of Remanufacturing,2210-464X
1678-5878,Journal of the Brazilian Society of Mechanical Sciences and Engineering,1678-5878
1678-5878,Journal of the Brazilian Society of Mechanical Sciences and Engineering,1806-3691
1735-207X,Journal of the Iranian Chemical Society,1735-2428
1735-207X,Journal of the Iranian Chemical Society,1735-207X
1995-0802,Lobachevskii Journal of Mathematics,1995-0802
1995-0802,Lobachevskii Journal of Mathematics,1818-9962
1895-6106,Lodz Papers in Pragmatics,1898-4436
1895-6106,Lodz Papers in Pragmatics,1895-6106
2212-9790,Maritime Studies,2212-9790
2212-9790,Maritime Studies,1872-7859
1369-7021,Materials Today,1369-7021
0025-7273,Medical History,2048-8343
0025-7273,Medical History,0025-7273
0210-5691,Medicina Intensiva,0210-5691
2214-5400,Meta Gene,2214-5400
0385-5600,Microbiology and Immunology,0385-5600
0385-5600,Microbiology and Immunology,1348-0421
0027-7630,Nagoya Mathematical Journal,2152-6842
0027-7630,Nagoya Mathematical Journal,0027-7630
1519-566X,Neotropical Entomology,1519-566X
1519-566X,Neotropical Entomology,1678-8052
1130-1473,Neurocirugía,1130-1473
0028-3843,Neurologia i Neurochirurgia Polska,0028-3843
1939-4225,New Horizons in Adult Education and Human Resource Development,1939-4225
0917-2394,Pediatric Dental Journal,0917-2394
1734-1140,Pharmacological Reports,1734-1140
2212-6864,Physics of the Dark Universe,2212-6864
2352-4073,Plant Gene,2352-4073
1546-3222,Proceedings of the American Thoracic Society,1546-3222
1546-3222,Proceedings of the American Thoracic Society,1943-5665
2363-9555,Research in Number Theory,2363-9555
2363-9555,Research in Number Theory,2522-0160
2197-9847,Research in the Mathematical Sciences,2197-9847
2197-9847,Research in the Mathematical Sciences,2522-0144
1806-9959,Brazilian Journal of Botany,1806-9959
1806-9959,Brazilian Journal of Botany,0100-8404
0300-8932,Revista Española de Cardiología,0300-8932
0300-8932,Revista Española de Cardiología,1579-2242
1699-8855,Revista Española de Patología,1699-8855
2007-4085,Revista Mexicana de Urología,2007-4085
1869-1889,Science China Life Sciences,1869-1889
1869-1889,Science China Life Sciences,1674-7305
0036-9330,Scottish Medical Journal,2045-6441
0036-9330,Scottish Medical Journal,0036-9330
1838-0743,Settler Colonial Studies,2201-473X
1838-0743,Settler Colonial Studies,1838-0743
1933-5415,Social Studies Research and Practice,1933-5415
1948-822X,Journal of the Society for Social Work and Research,2334-2315
1948-822X,Journal of the Society for Social Work and Research,1948-822X
2214-9937,Sustainable Materials and Technologies,2214-9937
1434-4599,International Journal of Transgenderism,1553-2739
1434-4599,International Journal of Transgenderism,1434-4599
1549-9243,The New Educator,1549-9243
1549-9243,The New Educator,1547-688X
1982-5676,Tropical Plant Pathology,1982-5676
1303-829X,Turkish Journal of Biochemistry,1303-829X
1303-829X,Turkish Journal of Biochemistry,0250-4685
1995-5855,ICL Journal,2306-3734
1995-5855,ICL Journal,1995-5855
1672-1977,Journal of Chinese Integrative Medicine,1672-1977
1309-1042,Atmospheric Pollution Research,1309-1042
2198-3534,Bandung: Journal of the Global South,2198-3534
2213-5383,Journal of Cancer Policy,2213-5383
1475-7516,Journal of Cosmology and Astroparticle Physics,1475-7516
1940-087X,Journal of Visualized Experiments,1940-087X
1349-0540,Polymer Journal,1349-0540
1349-0540,Polymer Journal,0032-3896
1614-7065,Chinese Journal of Chemistry,1614-7065
1614-7065,Chinese Journal of Chemistry,1001-604X
0289-0003,Zoological Science,0289-0003
1001-0602,Cell Research,1748-7838
1001-0602,Cell Research,1001-0602
1745-7254,Acta Pharmacologica Sinica,1745-7254
1745-7254,Acta Pharmacologica Sinica,1671-4083
