issn,journal_title,issn_cr,Source title,Source type,ASJC field IDs,Year,Citing source,P,IPP,IPP (lower bound),IPP (upper bound),SNIP.x,SNIP (lower bound),SNIP (upper bound),% self cit,issn_type,year_founded,year_OA_initiated,year_reverse_flipped,OA_content_still_OA,journal_location,prev. publisher,journal_name,publisher,oa_model,apc_pre,apc_post,apc_now,evidence,evidence_II,evidence_III,Comment,Discipline,SNIP.y,najko,mikael,included in OAD,X__1,Has been a subscription journal before OA?,Founded before 1985? (Assumed to have been subscr. based if founded before that),Link evidence of subscription-based past,Link evidence of born oa-based past,Flipped OA,Born OA,id
1012-8255,Academia Revista Latinoamericana de Administración,1012-8255,Academia Revista Latinoamericana de Administracion,Journal,1408; 3304; 3321,2015,1,52,0.365384615384615,0.192307692307692,0.576923076923077,0.609618372695386,0.126003989012321,1.34032104074714,0.157894736842105,Print ISSN,1988,NA,2016,NA,Peru,Consejo Latinoamericano de Escuelas de Administración,Academia Revista Latinoamericana de Administracion,Emerald,Hybrid,0.0,1595.0,2950.0,Scopus 2014-2018 Check,Manual Check,NA,NA,SSH,NA,NA,NA,NA,NA,NA,0,https://web.archive.org/web/20181211085848/https://www.redalyc.org/revista.oa?id=716 (seems to have joined Redalyc in 1999),NA,1,0,1012-8255
1012-8255,Academia Revista Latinoamericana de Administración,1012-8255,Academia Revista Latinoamericana de Administracion,Journal,1408; 3304; 3321,2016,1,47,0.297872340425532,0.148936170212766,0.468085106382979,0.344340821020191,0.0905149371465182,0.720198749865861,0.0714285714285714,Print ISSN,1988,NA,2016,NA,Peru,Consejo Latinoamericano de Escuelas de Administración,Academia Revista Latinoamericana de Administracion,Emerald,Hybrid,0.0,1595.0,2950.0,Scopus 2014-2018 Check,Manual Check,NA,NA,SSH,NA,NA,NA,NA,NA,NA,0,https://web.archive.org/web/20181211085848/https://www.redalyc.org/revista.oa?id=716 (seems to have joined Redalyc in 1999),NA,1,0,1012-8255
1012-8255,Academia Revista Latinoamericana de Administración,1012-8255,Academia Revista Latinoamericana de Administracion,Journal,1408; 3304; 3321,2017,1,61,0.704918032786885,0.426229508196721,1,0.601592891991931,0.301249927025044,0.945633131358591,0.0465116279069767,Print ISSN,1988,NA,2016,NA,Peru,Consejo Latinoamericano de Escuelas de Administración,Academia Revista Latinoamericana de Administracion,Emerald,Hybrid,0.0,1595.0,2950.0,Scopus 2014-2018 Check,Manual Check,NA,NA,SSH,NA,NA,NA,NA,NA,NA,0,https://web.archive.org/web/20181211085848/https://www.redalyc.org/revista.oa?id=716 (seems to have joined Redalyc in 1999),NA,1,0,1012-8255
1895-7455,Acta Geophysica,1895-7455,Acta Geophysica,Journal,1908,1999,1,83,0.289156626506024,0.144578313253012,0.457831325301205,0.377423667242267,0.144808638933488,0.64800364986769,0.416666666666667,Electronic ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-7455,Acta Geophysica,Journal,1908,2e3,1,91,0.318681318681319,0.197802197802198,0.450549450549451,0.612080417631646,0.320823971501664,0.944870776535676,0.413793103448276,Electronic ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-7455,Acta Geophysica,Journal,1908,2001,1,95,0.38947368421052603,0.231578947368421,0.578947368421053,0.406776712690361,0.233025369815168,0.616053691780877,0.756756756756757,Electronic ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-7455,Acta Geophysica,Journal,1908,2002,1,95,0.578947368421053,0.38947368421052603,0.778947368421053,1.24930012101937,0.785046044750316,1.87701418343791,0.218181818181818,Electronic ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-7455,Acta Geophysica,Journal,1908,2003,1,105,0.419047619047619,0.257142857142857,0.59047619047619,0.591263087518345,0.300665086876068,0.94152683378262,0.522727272727273,Electronic ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-7455,Acta Geophysica,Journal,1908,2004,1,107,0.467289719626168,0.327102803738318,0.635514018691589,0.655374696981127,0.421725839276643,0.923393400956711,0.52,Electronic ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-7455,Acta Geophysica,Journal,1908,2005,1,107,0.485981308411215,0.317757009345794,0.672897196261682,0.482526768516049,0.294094245010211,0.717859685381767,0.307692307692308,Electronic ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-7455,Acta Geophysica,Journal,1908,2006,1,104,0.557692307692308,0.384615384615385,0.75,0.89892192853567,0.571036547641478,1.27815125659627,0.155172413793103,Electronic ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-7455,Acta Geophysica,Journal,1908,2007,1,103,0.485436893203884,0.330097087378641,0.669902912621359,0.594130351639992,0.375904091638669,0.853081474728998,0.16,Electronic ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-7455,Acta Geophysica,Journal,1908,2008,1,117,0.299145299145299,0.205128205128205,0.401709401709402,0.444106627998609,0.254205045142825,0.666518308799089,0.2,Electronic ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-7455,Acta Geophysica,Journal,1908,2009,1,141,0.780141843971631,0.581560283687943,1,0.875107740276966,0.595668521441747,1.21233024753196,0.118181818181818,Electronic ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-7455,Acta Geophysica,Journal,1908,2010,1,168,0.833333333333333,0.654761904761905,1.0297619047619,0.743855872968308,0.555141706874525,0.956379918097608,0.135714285714286,Electronic ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-7455,Acta Geophysica,Journal,1908,2011,1,182,0.796703296703297,0.615384615384615,1.01648351648352,0.579946181836219,0.431194611747806,0.75491164172953,0.151724137931034,Electronic ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-7455,Acta Geophysica,Journal,1908,2012,1,182,0.917582417582418,0.703296703296703,1.16483516483516,0.752612994580349,0.525329620382506,1.024393134263,0.18562874251497,Electronic ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-7455,Acta Geophysica,Journal,1908,2013,1,211,1.25592417061611,1.02843601895735,1.48341232227488,1.1197536004013,0.888581926959354,1.36060813778167,0.222641509433962,Electronic ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-7455,Acta Geophysica,Journal,1908,2014,1,240,1.07083333333333,0.895833333333333,1.2625,0.914540178651173,0.69274031559126,1.15598068286239,0.0856031128404669,Electronic ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-7455,Acta Geophysica,Journal,1908,2015,1,252,1.11111111111111,0.924603174603175,1.28968253968254,0.928208794066291,0.751762017584302,1.09769947364631,0.164285714285714,Electronic ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-7455,Acta Geophysica,Journal,1908,2016,1,244,1.11885245901639,0.930327868852459,1.33606557377049,0.972633320637486,0.804874468678134,1.16663172104954,0.223443223443223,Electronic ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-7455,Acta Geophysica,Journal,1908,2017,1,289,0.768166089965398,0.636678200692042,0.916955017301038,0.567955802224121,0.452102809005428,0.69390930016713,0.193693693693694,Electronic ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-6572,Acta Geophysica,Journal,1908,1999,1,83,0.289156626506024,0.144578313253012,0.457831325301205,0.377423667242267,0.144808638933488,0.64800364986769,0.416666666666667,Print ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-6572,Acta Geophysica,Journal,1908,2e3,1,91,0.318681318681319,0.197802197802198,0.450549450549451,0.612080417631646,0.320823971501664,0.944870776535676,0.413793103448276,Print ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-6572,Acta Geophysica,Journal,1908,2001,1,95,0.38947368421052603,0.231578947368421,0.578947368421053,0.406776712690361,0.233025369815168,0.616053691780877,0.756756756756757,Print ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-6572,Acta Geophysica,Journal,1908,2002,1,95,0.578947368421053,0.38947368421052603,0.778947368421053,1.24930012101937,0.785046044750316,1.87701418343791,0.218181818181818,Print ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-6572,Acta Geophysica,Journal,1908,2003,1,105,0.419047619047619,0.257142857142857,0.59047619047619,0.591263087518345,0.300665086876068,0.94152683378262,0.522727272727273,Print ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-6572,Acta Geophysica,Journal,1908,2004,1,107,0.467289719626168,0.327102803738318,0.635514018691589,0.655374696981127,0.421725839276643,0.923393400956711,0.52,Print ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-6572,Acta Geophysica,Journal,1908,2005,1,107,0.485981308411215,0.317757009345794,0.672897196261682,0.482526768516049,0.294094245010211,0.717859685381767,0.307692307692308,Print ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-6572,Acta Geophysica,Journal,1908,2006,1,104,0.557692307692308,0.384615384615385,0.75,0.89892192853567,0.571036547641478,1.27815125659627,0.155172413793103,Print ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-6572,Acta Geophysica,Journal,1908,2007,1,103,0.485436893203884,0.330097087378641,0.669902912621359,0.594130351639992,0.375904091638669,0.853081474728998,0.16,Print ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-6572,Acta Geophysica,Journal,1908,2008,1,117,0.299145299145299,0.205128205128205,0.401709401709402,0.444106627998609,0.254205045142825,0.666518308799089,0.2,Print ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-6572,Acta Geophysica,Journal,1908,2009,1,141,0.780141843971631,0.581560283687943,1,0.875107740276966,0.595668521441747,1.21233024753196,0.118181818181818,Print ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-6572,Acta Geophysica,Journal,1908,2010,1,168,0.833333333333333,0.654761904761905,1.0297619047619,0.743855872968308,0.555141706874525,0.956379918097608,0.135714285714286,Print ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-6572,Acta Geophysica,Journal,1908,2011,1,182,0.796703296703297,0.615384615384615,1.01648351648352,0.579946181836219,0.431194611747806,0.75491164172953,0.151724137931034,Print ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-6572,Acta Geophysica,Journal,1908,2012,1,182,0.917582417582418,0.703296703296703,1.16483516483516,0.752612994580349,0.525329620382506,1.024393134263,0.18562874251497,Print ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
1895-7455,Acta Geophysica,1895-6572,Acta Geophysica,Journal,1908,2013,1,211,1.25592417061611,1.02843601895735,1.48341232227488,1.1197536004013,0.888581926959354,1.36060813778167,0.222641509433962,Print ISSN,1953,NA,2017,NA,Poland,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Acta Geophysica,Springer Nature,Hybrid,0.0,3000.0,3000.0,DOAJ check,Manual Check,NA,NA,PSM,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1895-7455
