issn,issued_year,n,year_founded,year_reverse_flipped,journal_name,publisher,lag,lags,pct_change
0914-7187,2009,127,1987,2008,Annals of Nuclear Medicine,Springer Nature,1,129,-0.015503875968992248
0914-7187,2010,128,1987,2008,Annals of Nuclear Medicine,Springer Nature,2,127,0.007874015748031496
0916-9636,2007,170,1978,2009,Hypertension Research,Springer Nature,-2,NA,0
0916-9636,2008,279,1978,2009,Hypertension Research,Springer Nature,-1,170,0.6411764705882353
0916-9636,2009,245,1978,2009,Hypertension Research,Springer Nature,0,279,-0.12186379928315412
0916-9636,2010,276,1978,2009,Hypertension Research,Springer Nature,1,245,0.12653061224489795
0916-9636,2011,246,1978,2009,Hypertension Research,Springer Nature,2,276,-0.10869565217391304
0917-2394,2011,27,1991,2013,Pediatric Dental Journal,Elsevier,-2,NA,0
0917-2394,2012,28,1991,2013,Pediatric Dental Journal,Elsevier,-1,27,0.037037037037037035
0917-2394,2013,19,1991,2013,Pediatric Dental Journal,Elsevier,0,28,-0.32142857142857145
0917-2394,2014,35,1991,2013,Pediatric Dental Journal,Elsevier,1,19,0.8421052631578947
0917-2394,2015,15,1991,2013,Pediatric Dental Journal,Elsevier,2,35,-0.5714285714285714
0970-1915,2011,86,1986,2013,Indian Journal of Clinical Biochemistry,Springer Nature,-2,NA,0
0970-1915,2012,107,1986,2013,Indian Journal of Clinical Biochemistry,Springer Nature,-1,86,0.2441860465116279
0970-1915,2013,114,1986,2013,Indian Journal of Clinical Biochemistry,Springer Nature,0,107,0.06542056074766354
0970-1915,2014,63,1986,2013,Indian Journal of Clinical Biochemistry,Springer Nature,1,114,-0.4473684210526316
0970-1915,2015,70,1986,2013,Indian Journal of Clinical Biochemistry,Springer Nature,2,63,0.1111111111111111
0973-0508,2012,42,2004,2014,Indian Journal of Neurotrauma,Elsevier,-2,NA,0
0973-0508,2013,36,2004,2014,Indian Journal of Neurotrauma,Elsevier,-1,42,-0.14285714285714285
0973-0508,2014,45,2004,2014,Indian Journal of Neurotrauma,Elsevier,0,36,0.25
0973-0508,2015,51,2004,2014,Indian Journal of Neurotrauma,Elsevier,1,45,0.13333333333333333
0973-0508,2016,40,2004,2014,Indian Journal of Neurotrauma,Elsevier,2,51,-0.21568627450980393
1001-0602,2003,51,1990,2005,Cell Research,Springer Nature,-2,NA,0
1001-0602,2004,61,1990,2005,Cell Research,Springer Nature,-1,51,0.19607843137254902
1001-0602,2005,122,1990,2005,Cell Research,Springer Nature,0,61,1
1001-0602,2006,129,1990,2005,Cell Research,Springer Nature,1,122,0.05737704918032787
1001-0602,2007,142,1990,2005,Cell Research,Springer Nature,2,129,0.10077519379844961
1012-8255,2014,23,1988,2016,Academia Revista Latinoamericana de Administracion,Emerald,-2,NA,0
1012-8255,2015,29,1988,2016,Academia Revista Latinoamericana de Administracion,Emerald,-1,23,0.2608695652173913
1012-8255,2016,27,1988,2016,Academia Revista Latinoamericana de Administracion,Emerald,0,29,-0.06896551724137931
1012-8255,2017,34,1988,2016,Academia Revista Latinoamericana de Administracion,Emerald,1,27,0.25925925925925924
1012-8255,2018,41,1988,2016,Academia Revista Latinoamericana de Administracion,Emerald,2,34,0.20588235294117646
1029-3523,2013,12,1972,2015,Investment Analysts Journal,Taylor & Francis,-2,NA,0
1029-3523,2014,14,1972,2015,Investment Analysts Journal,Taylor & Francis,-1,12,0.16666666666666666
1029-3523,2015,12,1972,2015,Investment Analysts Journal,Taylor & Francis,0,14,-0.14285714285714285
1029-3523,2016,25,1972,2015,Investment Analysts Journal,Taylor & Francis,1,12,1.0833333333333333
1029-3523,2017,14,1972,2015,Investment Analysts Journal,Taylor & Francis,2,25,-0.44
1130-1473,2010,110,1990,2012,Neurocirugia,Elsevier,-2,NA,0
1130-1473,2011,118,1990,2012,Neurocirugia,Elsevier,-1,110,0.07272727272727272
1130-1473,2012,48,1990,2012,Neurocirugia,Elsevier,0,118,-0.5932203389830508
1130-1473,2013,49,1990,2012,Neurocirugia,Elsevier,1,48,0.020833333333333332
1130-1473,2014,46,1990,2012,Neurocirugia,Elsevier,2,49,-0.061224489795918366
1210-3055,2009,40,1991,2011,Human Affairs,Springer Nature,-2,NA,0
1210-3055,2010,39,1991,2011,Human Affairs,Springer Nature,-1,40,-0.025
1210-3055,2011,45,1991,2011,Human Affairs,Springer Nature,0,39,0.15384615384615385
1210-3055,2012,50,1991,2011,Human Affairs,Springer Nature,1,45,0.1111111111111111
1210-3055,2013,59,1991,2011,Human Affairs,Springer Nature,2,50,0.18
1214-021X,2012,22,2003,2014,Journal of Applied Biomedicine,Elsevier,-2,NA,0
1214-021X,2013,25,2003,2014,Journal of Applied Biomedicine,Elsevier,-1,22,0.13636363636363635
1214-021X,2014,39,2003,2014,Journal of Applied Biomedicine,Elsevier,0,25,0.56
1214-021X,2015,37,2003,2014,Journal of Applied Biomedicine,Elsevier,1,39,-0.05128205128205128
1214-021X,2016,41,2003,2014,Journal of Applied Biomedicine,Elsevier,2,37,0.10810810810810811
1234-1983,2009,59,1960,2011,Journal of Applied Genetics,Springer Nature,-2,NA,0
1234-1983,2010,85,1960,2011,Journal of Applied Genetics,Springer Nature,-1,59,0.4406779661016949
1234-1983,2011,57,1960,2011,Journal of Applied Genetics,Springer Nature,0,85,-0.32941176470588235
1234-1983,2012,51,1960,2011,Journal of Applied Genetics,Springer Nature,1,57,-0.10526315789473684
1234-1983,2013,58,1960,2011,Journal of Applied Genetics,Springer Nature,2,51,0.13725490196078433
1303-829X,2013,73,1976,2015,Turk Biyokimya Dergisi,De Gruyter,-2,NA,0
1303-829X,2014,86,1976,2015,Turk Biyokimya Dergisi,De Gruyter,-1,73,0.1780821917808219
1303-829X,2015,87,1976,2015,Turk Biyokimya Dergisi,De Gruyter,0,86,0.011627906976744186
1303-829X,2016,134,1976,2015,Turk Biyokimya Dergisi,De Gruyter,1,87,0.5402298850574713
1303-829X,2017,148,1976,2015,Turk Biyokimya Dergisi,De Gruyter,2,134,0.1044776119402985
1309-1042,2013,52,2010,2015,Atmospheric Pollution Research,Elsevier,-2,NA,0
1309-1042,2014,90,2010,2015,Atmospheric Pollution Research,Elsevier,-1,52,0.7307692307692307
1309-1042,2015,125,2010,2015,Atmospheric Pollution Research,Elsevier,0,90,0.3888888888888889
1309-1042,2016,125,2010,2015,Atmospheric Pollution Research,Elsevier,1,125,0
1309-1042,2017,120,2010,2015,Atmospheric Pollution Research,Elsevier,2,125,-0.04
1349-0540,2008,165,1970,2010,Polymer Journal,Springer Nature,-2,NA,0
1349-0540,2009,198,1970,2010,Polymer Journal,Springer Nature,-1,165,0.2
1349-0540,2010,160,1970,2010,Polymer Journal,Springer Nature,0,198,-0.1919191919191919
1349-0540,2011,148,1970,2010,Polymer Journal,Springer Nature,1,160,-0.075
1349-0540,2012,239,1970,2010,Polymer Journal,Springer Nature,2,148,0.6148648648648649
1364-0380,2004,43,1997,2006,Geometry & Topology,Mathematical Sciences Publishers (MSP),-2,NA,0
1364-0380,2005,54,1997,2006,Geometry & Topology,Mathematical Sciences Publishers (MSP),-1,43,0.2558139534883721
1364-0380,2006,59,1997,2006,Geometry & Topology,Mathematical Sciences Publishers (MSP),0,54,0.09259259259259259
1364-0380,2007,50,1997,2006,Geometry & Topology,Mathematical Sciences Publishers (MSP),1,59,-0.15254237288135594
1364-0380,2008,59,1997,2006,Geometry & Topology,Mathematical Sciences Publishers (MSP),2,50,0.18
1402-9251,2007,50,1994,2009,Journal of Nonlinear Mathematical Physics,Taylor & Francis,-2,NA,0
1402-9251,2008,103,1994,2009,Journal of Nonlinear Mathematical Physics,Taylor & Francis,-1,50,1.06
1402-9251,2009,51,1994,2009,Journal of Nonlinear Mathematical Physics,Taylor & Francis,0,103,-0.5048543689320388
1402-9251,2010,59,1994,2009,Journal of Nonlinear Mathematical Physics,Taylor & Francis,1,51,0.1568627450980392
1402-9251,2011,70,1994,2009,Journal of Nonlinear Mathematical Physics,Taylor & Francis,2,59,0.1864406779661017
1467-3037,2013,6,1999,2015,Current Issues in Molecular Biology,Caister Academic Press,-2,NA,0
1467-3037,2014,7,1999,2015,Current Issues in Molecular Biology,Caister Academic Press,-1,6,0.16666666666666666
1467-3037,2015,6,1999,2015,Current Issues in Molecular Biology,Caister Academic Press,0,7,-0.14285714285714285
1467-3037,2016,24,1999,2015,Current Issues in Molecular Biology,Caister Academic Press,1,6,3
1467-3037,2017,23,1999,2015,Current Issues in Molecular Biology,Caister Academic Press,2,24,-0.041666666666666664
1472-2747,2004,54,2001,2006,Algebraic & Geometric Topology (AGT),Mathematical Sciences Publishers (MSP),-2,NA,0
1472-2747,2005,70,2001,2006,Algebraic & Geometric Topology (AGT),Mathematical Sciences Publishers (MSP),-1,54,0.2962962962962963
1472-2747,2006,87,2001,2006,Algebraic & Geometric Topology (AGT),Mathematical Sciences Publishers (MSP),0,70,0.24285714285714285
1472-2747,2007,83,2001,2006,Algebraic & Geometric Topology (AGT),Mathematical Sciences Publishers (MSP),1,87,-0.04597701149425287
1472-2747,2008,90,2001,2006,Algebraic & Geometric Topology (AGT),Mathematical Sciences Publishers (MSP),2,83,0.08433734939759036
1473-8376,2010,26,2002,2012,"Journal of Hospitality, Leisure, Sports and Tourism Education",Elsevier,-2,NA,0
1473-8376,2011,29,2002,2012,"Journal of Hospitality, Leisure, Sports and Tourism Education",Elsevier,-1,26,0.11538461538461539
1473-8376,2012,22,2002,2012,"Journal of Hospitality, Leisure, Sports and Tourism Education",Elsevier,0,29,-0.2413793103448276
1473-8376,2013,41,2002,2012,"Journal of Hospitality, Leisure, Sports and Tourism Education",Elsevier,1,22,0.8636363636363636
1473-8376,2014,22,2002,2012,"Journal of Hospitality, Leisure, Sports and Tourism Education",Elsevier,2,41,-0.4634146341463415
1475-7516,2003,93,2003,2005,Journal of Cosmology and Astroparticle Physics,IOP Press,-2,NA,0
1475-7516,2004,144,2003,2005,Journal of Cosmology and Astroparticle Physics,IOP Press,-1,93,0.5483870967741935
1475-7516,2005,156,2003,2005,Journal of Cosmology and Astroparticle Physics,IOP Press,0,144,0.08333333333333333
1475-7516,2006,216,2003,2005,Journal of Cosmology and Astroparticle Physics,IOP Press,1,156,0.38461538461538464
1475-7516,2007,280,2003,2005,Journal of Cosmology and Astroparticle Physics,IOP Press,2,216,0.2962962962962963
1477-3880,2011,25,2003,2013,International Review of Economics Education,Elsevier,-2,NA,0
1477-3880,2012,19,2003,2013,International Review of Economics Education,Elsevier,-1,25,-0.24
1477-3880,2013,31,2003,2013,International Review of Economics Education,Elsevier,0,19,0.631578947368421
1477-3880,2014,40,2003,2013,International Review of Economics Education,Elsevier,1,31,0.2903225806451613
1477-3880,2015,22,2003,2013,International Review of Economics Education,Elsevier,2,40,-0.45
1499-2671,2010,67,1977,2012,Canadian Journal of Diabetes,Elsevier,-2,NA,0
1499-2671,2011,346,1977,2012,Canadian Journal of Diabetes,Elsevier,-1,67,4.164179104477612
1499-2671,2012,365,1977,2012,Canadian Journal of Diabetes,Elsevier,0,346,0.05491329479768786
1499-2671,2013,888,1977,2012,Canadian Journal of Diabetes,Elsevier,1,365,1.4328767123287671
1499-2671,2014,337,1977,2012,Canadian Journal of Diabetes,Elsevier,2,888,-0.6204954954954955
1519-566X,2010,172,1972,2012,Neotropical Entomology,Springer Nature,-2,NA,0
1519-566X,2011,85,1972,2012,Neotropical Entomology,Springer Nature,-1,172,-0.5058139534883721
1519-566X,2012,97,1972,2012,Neotropical Entomology,Springer Nature,0,85,0.1411764705882353
1519-566X,2013,85,1972,2012,Neotropical Entomology,Springer Nature,1,97,-0.12371134020618557
1519-566X,2014,73,1972,2012,Neotropical Entomology,Springer Nature,2,85,-0.1411764705882353
1525-2019,2011,12,2e3,2013,Journal of Interactive Advertising,Taylor & Francis,-2,NA,0
1525-2019,2012,2,2e3,2013,Journal of Interactive Advertising,Taylor & Francis,-1,12,-0.8333333333333334
1525-2019,2013,11,2e3,2013,Journal of Interactive Advertising,Taylor & Francis,0,2,4.5
1525-2019,2014,11,2e3,2013,Journal of Interactive Advertising,Taylor & Francis,1,11,0
1525-2019,2015,13,2e3,2013,Journal of Interactive Advertising,Taylor & Francis,2,11,0.18181818181818182
1532-0073,2012,29,1999,2014,"Homology, Homotopy and Applications (HHA)",International Press of Boston,-2,NA,0
1532-0073,2013,37,1999,2014,"Homology, Homotopy and Applications (HHA)",International Press of Boston,-1,29,0.27586206896551724
1532-0073,2014,38,1999,2014,"Homology, Homotopy and Applications (HHA)",International Press of Boston,0,37,0.02702702702702703
1532-0073,2015,36,1999,2014,"Homology, Homotopy and Applications (HHA)",International Press of Boston,1,38,-0.05263157894736842
1532-0073,2016,42,1999,2014,"Homology, Homotopy and Applications (HHA)",International Press of Boston,2,36,0.16666666666666666
1546-3222,2008,143,2004,2010,Proceedings of the American Thoracic Society,American Thoracic Society,-2,NA,0
1546-3222,2009,109,2004,2010,Proceedings of the American Thoracic Society,American Thoracic Society,-1,143,-0.23776223776223776
1546-3222,2010,67,2004,2010,Proceedings of the American Thoracic Society,American Thoracic Society,0,109,-0.3853211009174312
1546-3222,2011,75,2004,2010,Proceedings of the American Thoracic Society,American Thoracic Society,1,67,0.11940298507462686
1546-3222,2012,70,2004,2010,Proceedings of the American Thoracic Society,American Thoracic Society,2,75,-0.06666666666666667
1548-159X,2013,17,2004,2015,Dynamics of Partial Differential Equations (DPDE),International Press of Boston,-2,NA,0
1548-159X,2014,18,2004,2015,Dynamics of Partial Differential Equations (DPDE),International Press of Boston,-1,17,0.058823529411764705
1548-159X,2015,17,2004,2015,Dynamics of Partial Differential Equations (DPDE),International Press of Boston,0,18,-0.05555555555555555
